,TP Sex ratio (males per 100 females),TP18 Sex ratio (males per 100 females),TP65 Sex ratio (males per 100 females),One Race White,One Race Black or African American,One Race American Indian and Alaska Native,One Race Asian,One Race Asian Indian,One Race Chinese,One Race Filipino,One Race Japanese,One Race Korean,One Race Vietnamese,One Race Other Asian,One Race Native Hawaiian and Other Pacific Islander,One Race Some other race,Two Plus White and Black or African American,Two Plus White and American Indian and Alaska Native,Two Plus White and Asian,Two Plus Black or African American and American Indian and Alaska Native,        Hispanic or Latino (of any race),Latino - Mexican,Latino - Puerto Rican,Latino - Cuban,            Other Hispanic or Latino,"Citizen, 18 and over population",CVAP Male,CVAP Female
"Congressional District 4 (116th Congress), Kentucky!!2019 Estimate",98.4,96.3,81.6,685514.5811360000,23869.931008000000,0.0,11934.965504000000,3729.6767200000000,2237.806032,745.9353440000000,745.9353440000000,745.9353440000000,1491.8706880000000,1491.8706880000000,0.0,8951.224128,192.00787200000000,64.00262400000000,64.00262400000000,0.0,25905.824,12952.912,2285.808,761.936,9143.232,568729.0,278677.21,290051.79
"Congressional District 5 (116th Congress), Kentucky!!2019 Estimate",99.1,96.9,82.5,655651.0056720000,8161.630776000000,1360.2717960000000,4080.8153880000000,2040.4076940000000,680.1358980000000,680.1358980000000,0.0,0.0,0.0,680.1358980000000,680.1358980000000,1360.2717960000000,67.59971400000000,48.285510000000000,9.657102000000000,0.0,9657.102000000000,7587.723000000000,689.793,0.0,1379.586,534351.0,262900.69200000000,271450.308
"Congressional District 6 (116th Congress), Kentucky!!2019 Estimate",94.9,93.0,77.9,634128.2816000000,67267.48160000000,1511.6288000000000,15116.288,5290.7008,4534.8864,755.8144000000000,1511.6288000000000,0.0,755.8144000000000,2267.4432,1511.6288000000000,12848.8448,349.7984,74.9568,124.92800000000000,24.9856,38259.200000000000,24985.600000000000,3123.2000000000000,780.8000000000000,10150.400000000000,582777.0,278567.406,304209.594
"Congressional District 1 (116th Congress), Louisiana!!2019 Estimate",92.0,89.9,78.6,620526.013746,109412.64726000000,8596.707999,17193.415998,3907.594545,3907.594545,1563.037818,781.518909,781.518909,4689.113454,2344.556727,0.0,7033.670181,165.58281900000000,110.388546,55.194273,18.398091,71192.61300000000,15198.423000000000,2399.751,7999.17,44795.352,588760.0,276128.44,312631.56
"Congressional District 2 (116th Congress), Louisiana!!2019 Estimate",94.1,90.4,77.8,242737.260714,475424.889615,3092.1944040000000,20099.263626000000,773.0486010000000,2319.1458030000000,773.0486010000000,0.0,773.0486010000000,13141.826217000000,1546.0972020000000,0.0,17007.069222000000,119.779192,44.917197,29.944798,29.944798,52009.386000000000,12608.336000000000,3152.0840000000000,4728.126,32308.861000000000,592763.0,280376.899,312386.101
"Congressional District 3 (116th Congress), Louisiana!!2019 Estimate",94.6,91.9,79.9,536492.487542,192153.46975000000,3074.4555160000000,11529.208185000000,3074.4555160000000,768.6138790000000,768.6138790000000,0.0,0.0,5380.2971530000000,2305.8416370000000,0.0,9223.366548000000,148.38408900000000,65.94848400000000,32.974242000000000,0.0,32974.242000000000,15702.02,1570.202,1570.202,14131.818000000000,579437.0,277550.323,301886.677
"Congressional District 4 (116th Congress), Louisiana!!2019 Estimate",98.0,95.0,78.4,437293.1472,243819.69885,6473.089350000000,7192.3215,719.23215,0.0,2157.69645,719.23215,719.23215,1438.4643,1438.4643,719.23215,5034.62505,92.20925000000000,165.97665000000000,55.32555000000000,18.441850000000000,32457.656000000000,19917.198000000000,2213.022,737.674,8852.088,555133.0,269794.638,285338.362
"Congressional District 5 (116th Congress), Louisiana!!2019 Estimate",100.1,96.6,76.3,436576.845222,252868.766787,2161.271511,5763.3906960000000,720.4238370000000,1440.8476740000000,1440.8476740000000,0.0,0.0,720.4238370000000,720.4238370000000,0.0,9365.509881,83.718978,13.953163,55.812652,55.812652,19828.179000000000,11750.032000000000,1468.7540000000000,734.3770000000000,5875.0160000000000,554470.0,271135.83,283334.17
"Congressional District 6 (116th Congress), Louisiana!!2019 Estimate",93.7,90.3,79.7,542829.71864,199697.94028800000,3169.808576,18226.399312000000,3962.2607200000000,3169.808576,1584.904288,0.0,0.0,7132.069296000000,1584.904288,0.0,17433.947168000000,45.00742400000000,33.755568,22.503712000000000,0.0,41792.608,13662.968,4018.52,803.7040000000000,22503.712000000000,592809.0,280398.657,312410.343
"Congressional District 1 (116th Congress), Maine!!2019 Estimate",93.9,92.2,80.8,630567.391896,14147.345331000000,3368.415555,10105.246665,1347.366222,2021.0493330000000,1347.366222,673.683111,673.683111,1347.366222,3368.415555,0.0,2694.732444,52.191556,65.239445,91.33522300000000,0.0,13047.889,2746.924,3433.655,686.731,6180.579000000000,550561.0,264269.28000000000,286291.72000000000
"Congressional District 2 (116th Congress), Maine!!2019 Estimate",97.0,95.1,86.0,606386.8365280000,7065.9483070000000,6423.589370000000,5138.871496000000,642.3589370000000,1284.7178740000000,642.3589370000000,642.3589370000000,0.0,642.3589370000000,1284.7178740000000,0.0,2569.4357480000000,75.610315,136.098567,45.366189,0.0,9862.215,2629.924,3287.405,657.481,3287.405,528209.0,257765.992,270443.00800000000
"Congressional District 1 (116th Congress), Maryland!!2019 Estimate",96.3,93.4,82.4,589272.6044260000,89327.387468,2161.146471,15848.407454000000,2161.146471,2161.146471,3601.910785,0.0,1440.764314,2161.146471,4322.292942,0.0,7203.82157,152.62958700000000,50.876529000000000,84.79421500000000,16.958843,33917.686,14009.479,5161.387,737.341,14009.479,567020.0,273303.64,293716.36
"Congressional District 2 (116th Congress), Maryland!!2019 Estimate",90.3,90.1,75.3,368733.56187,267313.72167,1448.85486,38394.65379,12315.266310000000,5070.992010000000,5070.992010000000,724.42743,3622.1371500000000,3622.1371500000000,7968.70173,724.42743,21732.822900000000,446.6676900000000,78.82371,157.64742,52.54914000000000,57804.054,15764.742,10509.828,2252.106,29277.378,547348.0,259990.3,287357.7
"Congressional District 3 (116th Congress), Maryland!!2019 Estimate",92.1,88.0,74.2,461233.67190600000,175672.46823,3737.7120900000000,55318.13893200000,15698.390778000000,11213.13627,5232.796926,1495.0848360000000,6727.881762000000,4485.254508000000,11213.13627,0.0,20931.187704,447.4341480000000,63.91916400000000,383.51498400000000,63.91916400000000,73273.188,13251.534000000000,8574.522,1559.0040000000000,49888.128000000000,559105.0,261102.035,298002.96500000000
"Congressional District 4 (116th Congress), Maryland!!2019 Estimate",94.9,91.8,73.0,209552.621175,385282.7140200000,1470.5447100000000,22058.170650000000,4411.63413,3676.3617750000000,6617.4511950000000,0.0,2941.0894200000000,1470.5447100000000,2205.817065,0.0,94114.86144000000,258.749095,70.567935,141.13587,47.04529,132789.125,17452.285,6070.36,2276.385,106231.3,499522.0,232777.252,266744.748
"Congressional District 5 (116th Congress), Maryland!!2019 Estimate",93.0,90.5,77.2,340343.65076400000,285074.169016,2181.6900690000000,29816.430943000000,7272.30023,5090.610161000000,7999.530253,727.230023,727.230023,2908.920092,5817.840184,727.230023,41452.111311,413.1816780000000,59.025954,295.12977,118.051908,78701.27200000000,14378.117,6810.687000000000,756.743,55998.98200000000,548323.0,259905.10200000000,288417.898
"Congressional District 6 (116th Congress), Maryland!!2019 Estimate",96.6,95.0,77.0,488462.6430840000,105354.687724,2210.2382040000000,86936.036024,28733.096652,23575.874176,8104.2067480000000,736.746068,6630.714612000000,4420.4764080000000,13998.175292,0.0,22839.128108000000,484.49898,96.89979600000000,322.99932,32.299932,100745.026,9997.598000000000,9228.552,2307.138,79211.73800000000,534386.0,260245.98200000000,274140.018
"Congressional District 7 (116th Congress), Maryland!!2019 Estimate",91.9,88.8,71.5,249368.74544400000,366718.7433000000,3492.5594600000000,52388.39190000000,18859.821084000000,9080.654596000000,2794.0475680000000,698.5118920000000,9080.654596000000,2095.5356760000000,9779.166488,698.5118920000000,8382.142704000000,149.168864,37.292216,149.168864,18.646108,28686.32,5020.106,4302.948,1434.316,18646.108,539189.0,253418.83,285770.17000000000
"Congressional District 8 (116th Congress), Maryland!!2019 Estimate",96.3,92.9,76.9,475754.220575,95150.844115,2247.6577350000000,71175.828275,14235.165655000000,20978.13886,8990.630940000000,2247.6577350000000,7492.1924500000000,7492.1924500000000,9739.850185000000,0.0,78668.020725,298.911305,54.34751,380.43257,27.173755,137421.561,10093.109,6987.537000000000,2329.179,118788.129,522028.0,250051.41200000000,271976.588
